Date,Close,High,Low,Open,Volume
2001-05-24,21.69016,21.77296,21.03321,21.03321,94556989
2001-05-25,21.72604,21.95514,21.58802,21.74812,59731991
2001-05-28,22.01587,22.187,21.75088,21.75088,36493007
2001-05-29,22.26981,22.46579,21.9165,22.02691,42811487
2001-05-30,21.61562,22.45198,21.52729,22.41334,54700207
2001-05-31,21.65704,21.73985,21.14363,21.50798,42893875
2001-06-01,20.99181,21.76468,20.87312,21.70948,43078103
2001-06-04,20.68818,21.14086,20.49496,21.08842,31130355
2001-06-05,20.58881,20.85655,20.45355,20.57777,28362650
2001-06-06,20.18029,20.75719,20.08644,20.69646,39624813
2001-06-07,20.10576,20.28518,19.71657,20.26034,52703851
2001-06-08,20.44804,20.61641,20.11405,20.14993,50362650
2001-06-11,20.4646,20.56121,20.21065,20.42595,37387314
2001-06-12,20.42872,20.49773,20.28795,20.42044,19314752
2001-06-13,20.72406,20.80687,20.42871,20.48116,32180868
2001-06-14,20.0892,20.88416,19.98984,20.6385,65138602
2001-06-15,19.74142,19.98984,19.49299,19.98984,47495514
2001-06-18,18.80292,19.70829,18.72011,19.6034,55464526
2001-06-19,19.14795,19.21144,18.75047,18.7698,36523999
2001-06-20,19.03754,19.37706,18.49377,18.49377,26094230
2001-06-21,18.83052,19.34669,18.76979,19.03202,47233211
2001-06-22,18.90229,18.97958,18.56002,18.88021,31187017
2001-06-25,18.84984,18.94093,18.52413,18.80844,24725145
2001-06-26,19.14519,19.25836,18.71459,18.7974,28403417
2001-06-27,19.76901,19.86838,18.92437,19.10102,44329523
2001-06-28,20.00087,20.22998,19.68068,19.76349,38544176
2001-06-29,20.34315,20.61641,19.87942,20.01192,26944326
2001-07-02,19.79937,21.80608,19.44882,20.47012,14112521
2001-07-03,18.18462,19.43226,17.88651,19.29977,65799036
2001-07-04,18.00796,18.30055,17.7761,17.8313,39504767
2001-07-05,18.31435,18.57106,18.11009,18.32815,28086259
2001-07-06,17.98036,18.1791,17.72089,17.88651,17151702
2001-07-09,18.06317,18.21774,17.45039,17.88651,35909821
2001-07-10,18.422,18.48824,18.05212,18.30055,24974270
2001-07-11,18.58209,18.8112,18.16805,18.32815,16015356
2001-07-12,18.78084,18.91885,18.61522,18.68699,17476842
2001-07-13,18.99062,19.36325,18.34472,18.8664,28580447
2001-07-16,18.32815,18.88021,18.21774,18.70907,21472159
2001-07-17,18.38336,18.57105,17.94724,18.16254,16188394
2001-07-18,18.03832,18.51861,17.94172,18.44132,20781490
2001-07-19,17.89204,18.02177,17.7209,17.94172,16907479
2001-07-20,17.32894,18.00245,17.14125,17.99693,25611498
2001-07-23,17.27925,17.44486,16.56158,17.11363,1948391
2001-07-24,17.35378,17.47247,16.62783,16.62783,13896909
2001-07-25,17.15228,17.41451,17.04187,17.36206,17154376
2001-07-26,16.82933,17.24613,16.71616,17.00323,30470005
2001-07-27,16.89558,17.00047,16.56158,16.7548,17946522
2001-07-30,17.27098,17.33446,16.74376,16.86246,21004692
2001-07-31,17.60221,17.7071,16.76308,17.37586,55492156
2001-08-01,17.41727,17.7899,17.23785,17.71813,26261387
2001-08-02,17.54424,17.71537,17.08879,17.33446,22788924
2001-08-03,17.51111,17.72642,17.1302,17.52768,48046979
2001-08-06,17.84235,17.9224,17.40347,17.50008,25558407
2001-08-07,18.17082,18.21775,17.72366,17.72366,32886578
2001-08-08,18.13218,18.27295,17.80646,17.9362,24997699
2001-08-09,18.53793,18.75599,17.94172,17.99692,32633546
2001-08-10,18.75875,18.84984,18.44408,18.65938,35529952
2001-08-13,18.02729,18.81948,17.91964,18.7422,27804630
2001-08-14,17.72366,18.20118,17.64637,18.20118,41322595
2001-08-15,17.72366,17.72366,17.72366,17.72366,0
2001-08-16,18.04661,18.29779,17.7209,17.83131,40314418
2001-08-17,17.53044,18.1515,17.45867,18.05213,37882790
2001-08-20,17.547,17.77058,17.36482,17.38967,27714988
2001-08-21,17.60497,17.81475,17.55528,17.55528,25945335
2001-08-22,17.60497,17.60497,17.60497,17.60497,0
2001-08-23,17.50008,18.65939,17.45039,17.66017,24387653
2001-08-24,17.39795,17.56908,17.3455,17.55528,20928018
2001-08-27,17.40623,17.66017,17.28478,17.55528,18360044
2001-08-28,17.27098,17.53872,17.23509,17.32894,14452184
2001-08-29,17.57736,17.67949,17.21853,17.22405,48566417
2001-08-30,17.616,17.74297,17.38966,17.51387,27727662
2001-08-31,17.17712,17.61049,17.0888,17.57736,39395546
2001-09-03,17.2627,17.38967,17.16885,17.16885,16171687
2001-09-04,17.35378,17.46695,17.03911,17.27373,22366089
2001-09-05,17.17712,17.44487,17.1026,17.27925,11804371
2001-09-06,17.20197,17.55528,17.08603,17.55528,16967446
2001-09-07,16.98667,17.3179,16.89558,17.3179,20467497
2001-09-10,16.79069,17.08052,16.74101,16.94803,12647198
2001-09-11,16.84037,16.94802,16.7272,16.86522,14673580
2001-09-12,16.44565,16.64439,15.23942,16.28556,34785814
2001-09-13,16.02609,16.7272,15.90188,16.56159,20201511
2001-09-14,14.42514,16.10338,14.42514,16.10338,31589350
2001-09-17,14.49967,14.657,13.30447,13.92553,100059643
2001-09-18,13.97522,15.37467,13.80132,14.35337,87037267
2001-09-19,13.63019,14.43618,13.42317,14.35337,54005126
2001-09-20,13.24375,13.5529,12.79658,13.35416,61146786
2001-09-21,11.96023,12.91804,11.92158,12.89872,73484375
2001-09-24,12.20865,12.52332,11.84705,12.00715,101903813
2001-09-25,11.40541,12.64201,11.2398,12.42671,99719112
2001-09-26,12.53988,12.54816,11.58759,11.58759,91794116
2001-09-27,13.34312,13.51425,11.86638,11.86638,134391056
2001-09-28,14.60732,14.67909,13.16646,13.47009,145786541
2001-10-01,14.32853,14.98823,13.9835,14.57419,204260754
2001-10-02,14.32853,14.32853,14.32853,14.32853,0
2001-10-03,13.61362,14.45826,13.3652,14.40858,99945731
2001-10-04,13.77096,14.12152,13.44525,13.74888,149091469
2001-10-05,13.83721,14.18776,13.44801,13.74612,71438233
2001-10-08,13.93105,14.12979,13.27687,13.35968,103922801
2001-10-09,13.97246,14.23192,13.75716,14.07735,103584608
