Datetime,Close,High,Low,Open,Volume
2025-04-22 03:45:00+00:00,1297.30005,1300.59998,1291.09998,1299.5,631075
2025-04-22 04:00:00+00:00,1297.30005,1300.30005,1296.0,1297.40002,449506
2025-04-22 04:15:00+00:00,1296.0,1297.40002,1294.0,1297.19995,318396
2025-04-22 04:30:00+00:00,1295.59998,1298.19995,1294.90002,1296.19995,251634
2025-04-22 04:45:00+00:00,1296.09998,1297.80005,1295.30005,1295.80005,377857
2025-04-22 05:00:00+00:00,1301.30005,1301.30005,1296.0,1296.30005,401687
2025-04-22 05:15:00+00:00,1300.0,1301.59998,1299.69995,1301.30005,317454
2025-04-22 05:30:00+00:00,1299.30005,1300.5,1298.09998,1300.0,523987
2025-04-22 05:45:00+00:00,1298.40002,1300.30005,1297.90002,1299.09998,1056989
2025-04-22 06:00:00+00:00,1300.09998,1300.5,1298.09998,1298.40002,716551
2025-04-22 06:15:00+00:00,1300.09998,1300.69995,1300.0,1300.09998,294786
2025-04-22 06:30:00+00:00,1300.0,1300.69995,1299.90002,1300.5,274722
2025-04-22 06:45:00+00:00,1298.40002,1300.30005,1298.19995,1300.0,420031
2025-04-22 07:00:00+00:00,1298.80005,1299.69995,1297.59998,1298.59998,823031
2025-04-22 07:15:00+00:00,1296.5,1299.40002,1294.69995,1298.80005,559215
2025-04-22 07:30:00+00:00,1295.0,1297.19995,1293.0,1296.90002,461909
2025-04-22 07:45:00+00:00,1293.5,1296.69995,1293.0,1295.0,610833
2025-04-22 08:00:00+00:00,1289.5,1294.69995,1289.40002,1293.5,600826
2025-04-22 08:15:00+00:00,1289.30005,1290.0,1286.30005,1289.69995,413913
2025-04-22 08:30:00+00:00,1289.69995,1291.40002,1288.09998,1289.0,341795
2025-04-22 08:45:00+00:00,1291.0,1291.0,1287.80005,1289.90002,424771
2025-04-22 09:00:00+00:00,1291.90002,1293.80005,1289.09998,1291.0,592723
2025-04-22 09:15:00+00:00,1291.09998,1292.69995,1289.19995,1292.0,366036
2025-04-22 09:30:00+00:00,1291.30005,1292.0,1290.0,1291.09998,628978
2025-04-22 09:45:00+00:00,1289.19995,1292.0,1288.0,1291.30005,448940
2025-04-23 03:45:00+00:00,1294.19995,1297.0,1291.09998,1297.0,215275
2025-04-23 04:00:00+00:00,1296.30005,1296.80005,1293.0,1294.19995,380191
2025-04-23 04:15:00+00:00,1303.40002,1306.0,1296.19995,1296.19995,777986
2025-04-23 04:30:00+00:00,1294.30005,1304.09998,1293.90002,1303.5,422422
2025-04-23 04:45:00+00:00,1294.09998,1295.80005,1292.0,1294.0,299800
2025-04-23 05:00:00+00:00,1288.90002,1294.59998,1288.59998,1293.90002,285256
2025-04-23 05:15:00+00:00,1288.0,1290.80005,1285.40002,1288.80005,396796
2025-04-23 05:30:00+00:00,1290.09998,1290.69995,1287.59998,1288.0,198898
2025-04-23 05:45:00+00:00,1291.69995,1293.0,1290.0,1290.0,212801
2025-04-23 06:00:00+00:00,1295.09998,1295.69995,1291.5,1291.69995,273931
2025-04-23 06:15:00+00:00,1293.40002,1297.0,1293.19995,1295.30005,305693
2025-04-23 06:30:00+00:00,1295.5,1295.5,1292.59998,1293.59998,307983
2025-04-23 06:45:00+00:00,1294.5,1296.40002,1292.90002,1295.30005,205160
2025-04-23 07:00:00+00:00,1295.19995,1295.5,1293.80005,1294.09998,194413
2025-04-23 07:15:00+00:00,1295.40002,1295.59998,1294.09998,1295.19995,246530
2025-04-23 07:30:00+00:00,1296.09998,1298.0,1295.0,1295.40002,205492
